vylovit+4	вытащить+из-под+l
sklouznout+3	соскользнуть+по+d
shánět+po+6	искать+в+l
bít+7	бить+i
mluvit+k+3	говорить+с+i
vypálit+z+2	выжечь+из+g
kroužit+4	вращать+вокруг+g
uvěřit+v+4	поверить+в+a
plnit+4	выполнять+a
ochutnat+4	попробовать+a
ztotožňovat+s+7	отождествлять+с+i
pálit+4	жечь+n
srážet+3	сбивать+с+g
hlásit+k+3	заявлять+о+l
odpadnout+od+2	отпасть+от+g
odevzdat+3	отдать+d
namítat+proti+3	возражать+против+g
pít+na+4	пить+за+a
spojovat+7	связывать+с+i
mluvit+na+4	говорить+в+a
nastavovat+4	подставлять+a
dojednat+4	согласовать+n
volat+po+6	призывать+к+d
věštit+4	предвещать+a
vyvěšovat+4	вывешивать+a
krást+4	красть+n
odnášet+7	нести+в+l
zajít+7	зайти+к+d
narůst+do+2	вырасти+до+l
mít+za+4	считать+за+a
platit+7	платить+i
aplikovat+na+4	применять+на+a
budovat+4	строить+a
vyskočit+z+2	выскочить+из+g
provést+3	провести+в+l
vyjíždět+na+4	выходить+на+a
objímat+4	обнимать+a
utrácet+7	тратить+на+a
pouštět+z+2	выпускать+из+g
přepínat+4	переключать+a
povzdechnout+7	вздохнуть+за+i
koordinovat+4	координировать+a
dovézt+4	довезти+до+g
odpustit+3	простить+d
ovlivnit+7	повлиять+на+a
hnát+na+4	бежать+по+d
vykořenit+4	выкорчевать+g
pozdravit+7	поздороваться+с+i
ocenit+4	оценить+a
dožít+4	дожить+до+g
přecenit+4	переоценить+a
potlačovat+4	подавлять+a
máchat+7	махать+i
mluvit+o+6	говорить+о+l
přesunout+do+2	переместить+в+a
sbírat+4	собирать+a
požadovat+po+6	требовать+для+g
rozbít+7	разбить+i
převládat+v+6	преобладать+в+l
hodit+na+4	бросить+на+a
pomoci+7	помочь+в+l
přestavovat+4	перестраивать+n
ohromit+4	поразить+a
čekat+s+7	ждать+от+g
poznat+od+2	познать+со+i
připravovat+4	готовить+a
přestupovat+z+2	переходить+в+a
splývat+do+2	сливаться+в+a
zastřelit+7	застрелить+из+g
odrážet+7	отражать+n
míjet+4	проходить+мимо+g
vynechat+z+2	пропустить+из+g
říci+4	сказать+a
mít+na+4	иметь+на+a
zmrzačit+4	изувечить+a
třít+4	тереть+a
vyhubit+4	искоренить+a
předstihnout+7	опередить+в+l
promlouvat+z+2	выступать+перед+i
posuzovat+4	судить+о+l
opřít+7	упереть+в+a
přemluvit+4	уговорить+g
zachránit+před+7	спасти+от+g
vydělávat+7	зарабатывать+на+a
hladit+4	гладить+a
znásobit+4	увеличить+a
klesnout+o+4	упасть+на+l
soustředit+4	сосредоточить+на+l
shrnout+do+2	свести+в+a
vyskočit+k+3	выскочить+из+g
navléknout+4	надеть+на+a
jít+4	касаться+g
napadnout+2	напасть+на+a
nakrájet+4	нарезать+в+a
vytahovat+7	извлекать+из+g
uvádět+7	приводить+в+a
podkopávat+4	подрывать+a
postavit+na+4	поставить+на+a
odletět+v+6	улететь+в+l
vyřadit+z+2	исключить+из+g
kroutit+7	крутить+i
udělit+4	дать+a
spustit+4	опустить+a
požírat+4	пожирать+a
podat+4	подать+a
vystřelit+z+2	выстрелить+из+g
pomýšlet+na+4	подумывать+об+l
vydělat+na+4	заработать+на+a
držet+4	держать+a
přejít+od+2	перейти+от+g
klesat+7	снижаться+в+l
myslet+na+4	думать+о+l
rvát+4	рвать+на+l
přepadat+4	нападать+на+a
přísahat+na+4	клясться+из-за+g
umět+4	уметь+g
potvrdit+4	подтвердить+a
přebírat+v+6	перебирать+в+l
vyjíždět+k+3	выезжать+со+i
dopřát+2	дать+a
běhat+k+3	бегать+к+d
potlačit+4	подавить+a
sjednotit+4	объединить+g
zradit+4	предать+g
překládat+z+2	переводить+из+g
zahynout+na+4	погибнуть+около+g
vylétnout+3	вылететь+из+g
srazit+3	сбить+с+g
namítat+3	возражать+против+g
odvádět+4	отвлекать+от+g
ztlumit+4	понизить+a
půjčovat+4	одалживать+a
počkat+na+4	подождать+на+l
věřit+v+4	верить+в+a
zajímat+4	интересовать+n
dělat+4	делать+a
vyložit+4	изложить+a
vyjmenovat+4	назвать+g
zasednout+4	сесть+a
tolerovat+4	терпеть+n
zatřást+7	потрясти+перед+i
přecházet+4	переходить+в+a
třídit+4	разбирать+a
začít+7	начать+с+g
dokončit+4	завершить+a
otáčet+7	поворачивать+a
vytisknout+4	напечатать+a
zavírat+na+4	запирать+на+a
umírat+na+4	умирать+от+g
vyžadovat+4	требовать+g
dorážet+na+4	нападать+на+a
vypátrat+4	обнаружить+a
jezdit+7	ездить+i
pamatovat+4	помнить+a
mít+nad+7	владеть+в+n
narazit+na+4	наткнуться+на+a
promluvit+na+4	заговорить+со+i
uvěřit+3	поверить+d
likvidovat+4	ликвидировать+a
založit+4	основать+на+l
potřást+4	потрясти+перед+i
prokázat+3	доказать+a
zasvětit+do+2	посвятить+в+a
zastavit+nad+7	остановиться+у+g
pojistit+4	застраховать+от+g
přenést+4	перенести+a
připravit+3	приготовить+n
dostávat+za+4	получать+за+a
žvýkat+4	жевать+a
padat+7	падать+на+a
podcenit+4	недооценить+a
zaútočit+na+4	напасть+на+a
cítit+na+4	чувствовать+на+l
nechat+z+2	забыть+про+a
připevnit+4	прикрепить+к+d
překládat+do+2	переводить+на+n
připravit+4	подготовить+a
dostat+za+4	получить+за+a
sevřít+7	сжать+a
zahrnout+v+6	включить+в+l
stáhnout+4	снять+с+g
bušit+7	стучать+i
odradit+7	отбить+у+g
přijíždět+k+3	подъезжать+к+d
předělat+4	переделать+a
vyrovnávat+4	уравновешивать+a
vyznávat+4	исповедовать+a
vyžadovat+na+6	требовать+от+g
riskovat+4	рисковать+i
přesvědčit+7	убедить+i
vozit+k+3	возить+к+d
vyletět+4	взлететь+в+a
zaujmout+4	занять+a
nastoupit+k+3	отправиться+в+a
odvést+4	отвести+в+a
vzrůst+3	увеличиться+на+l
nastrčit+4	подставить+a
stoupat+3	подниматься+к+d
transformovat+v+4	преобразовать+в+a
zasahovat+4	затрагивать+g
svazovat+4	связывать+a
rozdat+4	раздать+a
zarazit+4	остановить+a
svítit+7	сиять+из-под+g
zaslechnout+o+6	услышать+о+l
oběsit+4	повесить+g
pohrozit+7	погрозить+i
sklízet+7	убирать+со+g
překládat+4	перекладывать+a
pravit+3	сказать+d
probírat+s+7	разбирать+с+i
zobrazit+4	изобразить+g
zahrát+s+7	сыграть+на+l
zajistit+4	обеспечить+a
plést+4	путать+a
pomlouvat+4	клеветать+на+a
plakat+nad+7	плакать+по+d
vysypat+z+2	высыпать+из+g
dokázat+3	доказать+d
zanechávat+2	оставлять+у+g
vláčet+7	волочить+за+i
zpečetit+4	скрепить+a
vjet+3	въехать+в+a
srazit+4	подбить+a
přeložit+do+2	перевести+на+a
chránit+7	защищать+от+g
porazit+7	победить+по+d
inspirovat+4	вдохновить+a
brát+7	брать+i
zaslechnout+z+2	услышать+от+g
ohlašovat+4	сообщать+о+l
povídat+4	говорить+об+l
napustit+4	наполнить+a
vynikat+7	выделяться+g
vycházet+4	выходить+за+a
darovat+na+4	пожертвовать+на+a
vystřídat+4	заменить+в+l
vystavovat+3	подвергать+g
poznamenat+4	заметить+g
hrát+3	играть+на+a
projevovat+7	проявлять+в+l
mířit+4	направлять+на+a
přijít+na+4	прийти+на+a
postavit+z+2	построить+из+g
obchodovat+4	торговать+без+g
vyjádřit+7	выразить+i
usmrtit+4	убить+n
zastupovat+4	представлять+a
podněcovat+4	поощрять+a
preferovat+4	предпочитать+n
vzít+na+4	взять+на+a
zakázat+4	запретить+a
žrát+4	жрать+a
nenávidět+4	ненавидеть+a
obdržet+za+4	получить+за+a
nakrájet+do+2	нарезать+в+a
optimalizovat+4	оптимизировать+для+g
odstřelit+4	расстрелять+a
určovat+4	определять+a
přitisknout+k+3	прижать+к+d
jet+4	поехать+на+a
využít+k+3	использовать+для+g
zastavovat+před+7	останавливаться+перед+i
hřát+4	греть+a
izolovat+od+2	изолировать+от+g
opustit+4	покинуть+a
vyplývat+z+2	вытекать+из+g
velet+4	командовать+i
oplývat+7	изобиловать+i
obhájit+4	защитить+a
vystřízlivět+z+2	протрезветь+после+g
zapadat+7	садиться+за+n
počínat+4	начинать+с+g
pozastavit+4	приостановить+a
přecházet+z+2	переходить+из-под+g
poručit+4	велеть+a
reagovat+na+4	реагировать+на+a
uzavřít+s+7	заключить+с+i
vynaložit+za+4	потратить+около+l
přecházet+v+4	переходить+в+a
zahnout+4	свернуть+на+a
nahrávat+4	записывать+n
zasunout+4	задвинуть+за+i
naplnit+7	наполнить+i
vládnout+7	царить+над+i
provozovat+4	заниматься+i
zanedbat+4	пренебречь+g
shánět+4	искать+g
protestovat+proti+3	протестовать+против+g
skákat+po+6	скакать+на+l
zablokovat+4	заблокировать+a
hnát+s+7	бежать+на+a
uzavřít+7	закрыть+i
zvedat+4	поднимать+a
stanovit+7	установить+с+i
otvírat+7	открывать+i
exportovat+4	экспортировать+n
odtrhnout+od+2	оторвать+от+g
napsat+7	написать+на+l
roztrhávat+4	разрывать+в+a
pochválit+za+4	похвалить+за+a
pomyslet+4	подумать+о+l
patřit+k+3	принадлежать+к+d
kývnout+3	кивнуть+на+a
najímat+na+4	нанимать+для+g
odhadnout+4	оценить+a
dbát+na+4	следить+за+i
uslyšet+od+2	услыхать+от+g
přijmout+od+2	принять+от+g
zmrazit+na+4	заморозить+в+l
odeslat+k+3	отправить+для+g
jít+3	пойти+к+d
usnadnit+4	облегчить+a
trápit+4	мучить+n
povzbuzovat+4	поощрять+g
varovat+4	предостеречь+g
dostat+4	получить+a
pečovat+o+4	ухаживать+за+i
hodnotit+4	оценивать+a
přešlapovat+4	топтаться+у+g
pravit+o+6	говорить+о+a
klást+4	класть+a
mávat+7	размахивать+i
myslet+o+6	думать+о+l
hasit+4	тушить+g
nařídit+3	приказать+d
hnout+7	двинуть+ради+g
utírat+7	вытирать+i
telefonovat+4	звонить+из+g
proniknout+4	проникнуть+через+a
koukat+z+2	глядеть+в+a
založit+na+6	основать+на+l
získávat+z+2	получать+от+g
krmit+4	кормить+g
ukázat+3	показать+d
tahat+z+2	тянуть+в+a
natahovat+na+4	вытягивать+на+l
udivovat+4	поражать+i
ztrácet+na+6	терять+на+l
hovořit+na+4	говорить+о+l
interpretovat+4	толковать+a
nadiktovat+4	продиктовать+a
dojet+k+3	съездить+на+a
pozvedat+4	поднимать+g
zahrát+3	сыграть+d
prohrát+v+6	проиграть+на+l
zvykat+na+4	привыкать+ко+d
myslet+3	думать+о+l
připisovat+3	приписывать+d
nabírat+7	набирать+при+l
sejít+k+3	спуститься+к+d
vynést+4	вынести+a
vyzývat+4	призывать+g
dostat+od+2	получить+от+g
přitáhnout+k+3	притянуть+к+d
přepojit+4	переключить+a
řešit+4	решать+a
proudit+4	течь+по+d
přirovnat+k+3	сравнить+с+i
stáhnout+na+4	содрать+через+a
jet+po+6	ехать+по+d
přeložit+z+2	перевести+с+g
následovat+4	следовать+за+i
zůstávat+7	оставаться+i
porovnat+4	сравнить+a
respektovat+4	уважать+a
zajíždět+7	въезжать+l
ilustrovat+4	иллюстрировать+a
zůstat+7	остаться+i
zdobit+7	украшать+i
odkrývat+4	обнажать+a
přejet+4	проехать+a
léčit+na+4	лечить+в+l
zmáčknout+4	нажать+на+a
zůstat+3	остаться+в+l
sedat+na+4	садиться+на+a
zaklepat+3	постучать+в+a
měnit+v+4	превращать+в+a
zachraňovat+před+7	спасать+от+g
vyvádět+s+7	выводить+на+a
nalézt+v+6	найти+в+l
naložit+3	погрузить+в+a
učit+4	преподавать+n
pohlížet+na+4	смотреть+на+a
šokovat+7	шокировать+g
myslit+3	думать+о+l
obchodovat+s+7	торговать+на+l
záviset+od+2	зависеть+от+g
poukazovat+3	указывать+на+a
uhýbat+7	уклоняться+в+a
čerpat+4	черпать+n
zapadat+do+2	проваливаться+по+a
koupit+3	купить+для+g
vytušit+4	почуять+a
přestát+4	выдержать+n
panovat+v+6	господствовать+в+l
oceňovat+4	оценивать+a
zajet+7	съездить+к+d
povídat+3	говорить+об+l
zatajit+4	затаить+a
dohrát+4	доиграть+a
uříznout+4	отрезать+a
nést+na+4	нести+на+a
vyslat+k+3	послать+к+d
uhodnout+4	отгадать+g
upevnit+4	укрепить+a
konstruovat+4	конструировать+a
líčit+4	описывать+n
naznačit+4	указать+на+n
opřít+4	прислонить+к+d
zakládat+4	создавать+a
popadnout+za+4	схватить+за+a
uzavírat+7	заключать+с+i
nalézt+4	найти+a
obrátit+v+4	обратить+в+a
podnikat+4	предпринимать+a
stimulovat+4	стимулировать+a
vrátit+3	вернуть+d
přijít+4	прийти+a
zaskočit+7	забежать+с+i
vzrůst+z+2	возрасти+с+g
získávat+7	получать+путем+g
zvolit+3	избрать+для+g
vychovávat+k+3	воспитывать+во+l
rozvázat+4	развязать+a
ustupovat+3	отступать+к+d
odrazovat+7	отпугивать+i
propít+4	пропить+за+a
zničit+7	уничтожить+g
překazit+4	помешать+в+l
navázat+4	установить+с+i
vařit+4	варить+a
nadělat+4	наделать+a
mučit+7	морить+i
přepracovat+4	переписать+a
zazpívat+4	спеть+a
dosadit+4	назначить+на+l
přivolávat+4	манить+в+a
zapomenout+na+4	позабыть+о+l
sdělit+o+6	сообщить+о+l
ujistit+4	заверить+g
přitahovat+k+3	притягивать+к+d
svést+na+4	свести+к+l
odvádět+za+4	уводить+с+i
sestoupit+z+2	спуститься+с+g
rozehnat+4	разогнать+n
práskat+7	хлопать+g
vytahovat+4	вытаскивать+из+g
přivádět+4	приводить+ко+d
zaplavit+4	затопить+a
unavit+7	устать+от+g
pouštět+do+2	выпускать+на+a
spadnout+3	упасть+на+a
onemocnět+7	заболеть+i
házet+7	бросать+a
připsat+4	отнести+на+a
oznámit+7	заявить+о+l
vypovídat+o+6	рассказывать+о+l
vyhlásit+za+4	объявить+о+l
vysvětlovat+4	объяснять+a
postavit+za+4	построить+по+d
spojit+s+7	связать+с+i
identifikovat+4	опознать+a
převzít+od+2	позаимствовать+у+g
označovat+4	отмечать+a
demonstrovat+4	продемонстрировать+a
ukázat+na+4	указать+на+a
vyrazit+4	выбить+a
vyzvědět+od+2	выведать+у+g
najímat+k+3	нанимать+для+g
obtěžovat+7	приставать+ко+d
postupovat+v+6	действовать+в+l
zveličovat+4	преувеличивать+a
udělovat+3	давать+d
dostávat+od+2	получать+от+g
připíchnout+4	приколоть+n
docházet+4	происходить+в+a
vycházet+s+7	выходить+с+i
mačkat+4	жать+на+a
opatrovat+4	ухаживать+за+i
vymezovat+4	определять+a
píchat+7	тыкать+i
stoupnout+o+4	подняться+на+a
zareagovat+7	отреагировать+на+a
zamávat+7	замахать+i
letět+na+4	лететь+на+a
vzrušovat+4	волновать+g
zobrazovat+4	изображать+a
najímat+4	нанимать+g
následovat+za+7	последовать+за+i
prohrát+s+7	проиграть+в+l
dopadat+s+7	падать+на+a
pozorovat+4	наблюдать+за+i
zabalit+do+2	завернуть+в+a
integrovat+4	интегрировать+в+a
ztratit+4	потерять+a
sestavit+4	составить+a
sestupovat+na+4	сходить+на+a
shrnout+4	сгрести+в+n
zbavit+2	лишить+g
ohromovat+7	поражать+i
dorůst+do+2	дорасти+до+g
vztyčit+4	поднять+a
zveřejnit+4	опубликовать+a
zkoušet+s+7	репетировать+с+i
vyřešit+7	решить+за+a
zničit+4	уничтожить+a
uchovat+4	сохранить+a
zvednout+7	поднять+к+d
napravit+7	исправить+путем+g
upadnout+do+2	впасть+в+a
plout+na+6	плыть+по+d
utírat+4	вытирать+a
probudit+4	пробудить+в+l
znemožňovat+4	препятствовать+d
utrhnout+z+2	сорвать+с+g
vědět+o+6	знать+о+l
aktualizovat+4	обновить+a
přiložit+k+3	приставить+ко+d
říkat+o+4	говорить+о+l
pomoci+od+2	помочь+около+n
přísahat+3	клясться+d
osvobozovat+od+2	освобождать+от+g
ohrožovat+7	угрожать+n
zahnout+k+3	свернуть+к+d
domluvit+s+7	договориться+с+i
přejímat+4	принимать+на+a
zachraňovat+4	спасать+a
zbožňovat+4	обожать+a
odvážet+na+4	увозить+за+a
slibovat+za+4	обещать+за+a
diskvalifikovat+4	дисквалифицировать+g
přecházet+k+3	переходить+к+d
zastavovat+7	останавливаться+перед+i
opomíjet+4	игнорировать+g
poslat+3	послать+d
sousedit+s+7	примыкать+к+d
sehrát+v+6	сыграть+в+l
rozmlouvat+7	разговаривать+i
odstranit+4	устранить+a
jet+na+4	поехать+на+a
posadit+4	посадить+a
potrestat+za+4	наказать+в+l
předejít+3	избежать+до+l
odpustit+4	простить+a
vydělávat+4	зарабатывать+на+a
ohodnotit+4	оценить+по+d
kroutit+4	крутить+a
vložit+do+2	вложить+в+a
uškodit+3	навредить+d
uhodit+na+4	накинуться+на+a
redukovat+z+2	приводить+к+d
zasvěcovat+do+2	посвящать+в+l
zkrátit+o+4	сократить+на+a
přikrývat+4	прикрывать+a
vybírat+4	выбирать+a
přikrýt+7	прикрыть+i
poukázat+7	указать+a
udržet+3	сохранить+за+i
pokračovat+7	продолжаться+с+i
zakrývat+4	скрывать+a
sejít+na+4	спуститься+во+a
zavrhovat+4	отвергать+a
okupovat+4	оккупировать+a
ubezpečovat+4	заверять+g
zdvíhat+4	поднимать+g
dělit+s+7	делить+с+i
natáhnout+po+6	протянуть+к+d
absolvovat+4	окончить+g
odjet+4	уехать+на+a
přiběhnout+k+3	подбежать+к+d
poznat+4	узнать+a
přeměnit+v+4	преобразовать+в+a
vjet+na+6	въехать+на+l
přeskakovat+3	перескакивать+с+g
přikázat+4	приказать+a
spouštět+z+2	спускать+с+g
podnítit+4	поощрить+g
cestovat+7	путешествовать+между+i
kapitulovat+před+7	капитулировать+перед+i
zahrát+na+4	сыграть+на+l
zahájit+4	начать+a
dominovat+7	доминировать+на+l
poukazovat+na+4	указывать+на+a
dopravovat+4	доставлять+a
zvětšit+4	увеличить+a
nechat+7	оставить+в+l
sjet+k+3	спуститься+на+l
ustupovat+v+6	отступать+к+d
hradit+4	покрывать+g
nanosit+4	натаскать+g
připadat+do+2	приходиться+около+l
ponechávat+4	оставлять+a
dodržet+4	выполнить+a
spoléhat+na+4	полагаться+на+a
spasit+7	спасти+a
vyvážit+4	сбалансировать+n
upéci+4	испечь+a
vypsat+4	назначить+на+a
stačit+na+4	хватить+на+a
požádat+o+4	попросить+у+g
naplňovat+4	наполнять+a
zvládat+4	справляться+i
uhodit+7	стукнуть+i
nalepovat+na+4	наклеивать+на+a
vzdělávat+4	просвещать+g
přestoupit+do+2	перейти+в+a
prodiskutovat+4	обсудить+с+i
zachovat+v+6	сохранить+в+l
vystřihovat+4	вырезать+из+g
převzít+za+4	принять+на+a
pomáhat+s+7	помогать+в+l
rozšiřovat+4	расширять+a
odrážet+v+6	отражать+на+a
vysvětlovat+3	объяснять+d
diskreditovat+4	дискредитировать+a
jít+na+4	пойти+на+a
cítit+s+7	чувствовать+возле+g
zhodnotit+4	оценить+a
utvořit+4	сформировать+n
aspirovat+na+4	стремиться+к+d
odpovědět+3	ответить+d
trefit+4	попасть+в+a
pohrdnout+7	пренебречь+i
zvítězit+nad+7	победить+в+l
natáhnout+3	протянуть+к+d
odrazit+7	отразить+в+l
distribuovat+mezi+4	распределить+между+i
uvěřit+4	уверовать+во+a
přerůstat+v+4	перерастать+в+a
klesnout+3	опуститься+до+g
použít+4	использовать+a
vrtět+7	вертеть+перед+i
chválit+za+4	хвалить+за+a
uvařit+4	приготовить+a
navštěvovat+4	посещать+a
dbát+o+4	следить+за+i
zastavit+7	остановиться+перед+i
stačit+3	поспеть+за+i
vyzařovat+4	испускать+a
uslyšet+z+2	услыхать+по+d
bušit+4	колотить+a
vařit+3	готовить+g
prosit+4	просить+a
zavolat+3	позвонить+d
předurčit+k+3	предназначить+под+a
devalvovat+4	девальвировать+a
přecházet+7	переключаться+от+g
vyrůstat+z+2	вырастать+из+g
produkovat+4	производить+в+l
otálet+s+7	медлить+с+i
uvádět+do+2	приводить+в+a
zvolit+za+4	избрать+на+a
vynést+na+4	вынести+из-за+g
zlámat+4	сломать+a
vynaložit+4	потратить+на+a
zastavovat+nad+7	останавливаться+над+i
hnát+do+2	мчаться+на+a
zredukovat+7	сократить+с+i
shazovat+4	сбрасывать+с+g
platit+na+4	платить+на+a
poklesnout+na+4	упасть+до+g
přerušit+4	прервать+a
vyvolat+4	вызвать+a
vzrůst+na+4	возрасти+на+l
vléci+k+3	тащить+на+a
zdobit+4	украшать+a
natahovat+k+3	протягивать+к+d
namířit+proti+3	направить+против+g
apelovat+na+4	апеллировать+к+d
bývat+na+6	бывать+в+l
odvézt+3	отвезти+в+a
přebíhat+4	перебегать+с+g
zpomalit+4	замедлить+a
komplikovat+4	усложнять+a
sjet+po+6	съехать+по+d
recitovat+4	декламировать+в+l
ležet+na+6	лежать+на+l
vyčistit+4	вычистить+a
zanechat+3	оставить+d
rozluštit+4	расшифровать+a
opatřit+7	оснастить+i
dráždit+4	раздражать+g
vyzvat+4	призвать+g
diskutovat+o+6	спорить+о+l
rozptýlit+4	развлечь+a
pokračovat+v+6	продолжаться+в+l
vyžadovat+od+2	требовать+от+g
zaujmout+7	увлечь+i
vystřihnout+z+2	вырезать+из+g
stavět+do+2	ставить+в+a
vydělat+4	заработать+a
vytvořit+3	создать+d
zasahovat+7	вмешиваться+в+a
závidět+3	завидовать+d
zaplašit+4	прогнать+a
udržovat+3	сохранять+у+g
vybavit+7	оснастить+i
zabírat+4	занимать+a
vypadat+3	походить+на+a
prohlížet+4	рассматривать+a
vyrovnat+7	выровнять+при+l
zabránit+3	предотвратить+a
zařadit+4	включить+в+a
připoutat+k+3	привязать+к+d
zostřovat+4	обострять+a
nasadit+4	надеть+a
zachvátit+4	затронуть+в+l
přenést+k+3	перенести+к+d
vypudit+4	вытеснить+g
házet+4	бросать+a
říci+3	сказать+d
požívat+2	пользоваться+i
revidovat+4	пересмотреть+a
spoléhat+v+6	полагаться+на+a
vyhlásit+7	объявить+d
praktikovat+4	практиковать+a
prodat+za+4	продать+за+a
volat+4	призывать+к+d
zastavit+u+2	остановиться+у+g
zastírat+4	скрывать+g
vnutit+4	навязать+a
srovnat+7	сровнять+с+i
sebrat+4	взять+a
vybírat+mezi+7	выбирать+между+i
vztahovat+4	протягивать+a
vinit+4	обвинять+в+l
zůstat+u+2	остаться+у+g
sledovat+7	следить+за+i
spustit+3	спустить+на+a
sejít+z+2	сбиться+с+g
navrhovat+4	предлагать+a
procedit+4	процедить+a
spouštět+4	спускать+с+g
toužit+po+6	мечтать+о+l
poučovat+4	поучать+a
míjet+7	проходить+мимо+g
jednat+o+4	говорить+о+l
nastupovat+do+2	садиться+в+a
vrhat+na+4	отбрасывать+на+a
proběhnout+4	пройти+в+l
jezdit+v+6	ездить+в+l
obrátit+4	повернуть+к+d
vyložit+3	пересказать+d
chválit+4	хвалить+за+a
přeskakovat+z+2	перескакивать+с+g
vyplňovat+3	заполнять+a
lepit+4	наклеивать+a
vynaleznout+4	изобрести+a
donutit+4	заставить+a
zatočit+7	повертеть+в+l
ubírat+4	отнимать+a
reagovat+7	отвечать+на+a
požadovat+od+2	требовать+от+g
vložit+3	вложить+в+a
jezdit+na+6	кататься+на+l
inscenovat+4	инсценировать+a
vylézat+na+4	вылезать+из+g
vybrat+mezi+7	выбрать+между+i
představit+3	представить+d
zkreslovat+4	искажать+a
vyhostit+4	выслать+из+g
ochraňovat+před+7	охранять+от+g
prodávat+za+4	продавать+по+d
zachránit+4	спасти+a
uhájit+4	отстоять+a
nasadit+3	надеть+на+a
zaskočit+k+3	забежать+с+i
upravovat+3	приспосабливать+к+d
schovávat+4	прятать+под+a
vyšplhat+na+4	залезть+на+a
zadržovat+4	задерживать+a
hýčkat+4	баловать+g
dostat+z+2	вытащить+из+g
odstoupit+z+2	отказаться+от+g
padat+z+2	падать+на+a
žádat+4	требовать+g
pohltit+4	поглотить+a
garantovat+4	гарантировать+a
zamknout+4	запереть+a
pět+3	пять+d
uvažovat+4	думать+о+l
upozornit+na+4	указать+на+a
zapíchnout+4	воткнуть+a
škrábat+4	чистить+a
proniknout+7	проникнуть+сквозь+a
ochránit+proti+3	защитить+от+g
vyrůst+do+2	вырасти+в+l
zranit+7	ранить+i
postavit+proti+3	поставить+под+a
usuzovat+o+6	судить+по+d
zahrnovat+7	включать+в+a
popadnout+4	схватить+a
zastínit+4	заслонить+a
zavřít+4	закрыть+a
utěšovat+4	утешать+a
poškrábat+4	почесать+a
dát+na+4	поставить+перед+i
děkovat+za+4	благодарить+за+a
zvonit+na+4	звонить+в+a
mít+s+7	иметь+к+d
odtrhnout+4	оторвать+a
slíbit+3	обещать+d
upozorňovat+na+4	указывать+на+a
střídat+4	чередовать+i
připomínat+3	напоминать+d
stačit+4	успеть+a
odklidit+4	убрать+a
zapadnout+7	занести+i
svolat+4	собрать+a
myslit+na+4	думать+о+l
využívat+4	использовать+a
oddělovat+od+2	отделять+от+g
svázat+s+7	связать+с+i
vytrhávat+z+2	вырывать+из+g
vodit+4	водить+за+i
napomoci+3	помочь+d
odvést+za+4	отвести+к+d
vyjít+3	выйти+на+a
přepravovat+4	транспортировать+за+a
zlepšit+4	улучшить+a
odtahovat+4	отодвигать+a
vyvést+na+4	вывести+на+a
vstoupit+v+4	вступить+в+a
odpovědět+na+4	ответить+на+a
zapřáhnout+4	запрячь+g
povolit+3	разрешить+g
obrátit+k+3	повернуть+к+d
chovat+k+3	испытывать+к+d
vypouštět+na+4	выбрасывать+на+a
rozdělit+3	разделить+на+a
procházet+4	проходить+a
najít+na+6	найти+на+l
ochránit+před+7	защитить+от+g
sklánět+4	опускать+g
dobývat+2	добывать+a
hrát+na+4	играть+на+l
vystrčit+4	высунуть+a
ustupovat+před+7	отступать+перед+i
